Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Opening Hours,About Us,Stores,Facebook Link,Twitter Link,Instagram Link,Pinterest Link,Contact Us
El Qobtan Stationery,,4,,03 5442453,+20 3 5442453,17 ِش خليل الخياط، مصطفى كامل، قسم سيدى جابر، الإسكندرية، Egypt,31.224592,29.949304,,,17,,https://maps.google.com/?cid=5875741530291441451,,,,,,,,
Quality Center Stationery,,0,,03 5857579,+20 3 5857579,"Sharawy street (crossing Fahmy wisa), San Stifano, Alexandria, Alexandria Governorate, Egypt",31.247918,29.973312,Alexandria Governorate,San Stifano,Alexandria,Egypt,https://maps.google.com/?cid=18342977355893474688,"Monday: 10:30 AM – 11:00 PM 
Tuesday: 10:30 AM – 11:00 PM 
Wednesday: 10:30 AM – 11:00 PM 
Thursday: 10:30 AM – 11:00 PM 
Friday: Closed 
Saturday: 10:30 AM – 11:00 PM 
Sunday: 10:30 AM – 11:00 PM",,,,,,,
Cleopatra Stationery,http://cleobook.com/,4.3,,03 4863912,+20 3 4863912,"118 Al Gazaar, Al Mansheyah Al Kubra, Qesm Al Mansheyah, Alexandria Governorate 21111, Egypt",31.197062,29.890816,,,118,,https://maps.google.com/?cid=14460017423475603709,"Monday: 9:00 AM – 9:00 PM 
Tuesday: 9:00 AM – 9:00 PM 
Wednesday: 9:00 AM – 9:00 PM 
Thursday: 9:00 AM – 9:00 PM 
Friday: Closed 
Saturday: 9:00 AM – 9:00 PM 
Sunday: 9:00 AM – 6:00 PM",,,https://www.facebook.com/%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D9%83%D9%84%D9%8A%D9%88%D8%A8%D8%A7%D8%AA%D8%B1%D8%A7-1380261758881760/,,,,
El Shimy Stationery For Fine Arts,,4.2,,03 5828406,+20 3 5828406,112 Abdel Salam Aref St.، GLIM، قسم الرمل، الإسكندرية، Egypt,31.2409753,29.9624111,,,112,,https://maps.google.com/?cid=10755986965409053758,"Monday: 10:00 AM – 9:00 PM 
Tuesday: 10:00 AM – 9:00 PM 
Wednesday: 10:00 AM – 9:00 PM 
Thursday: 10:00 AM – 9:00 PM 
Friday: Closed 
Saturday: 10:00 AM – 9:00 PM 
Sunday: 10:00 AM – 9:00 PM",,,,,,,
Book Store Future,,5,,0,0,"No.63, Sidi Beshr Qebli, Qism El-Montaza, Alexandria Governorate, Egypt",31.255605,30.0017859,Qism El-Montaza,Sidi Beshr Qebli,No.63,Alexandria Governorate,https://maps.google.com/?cid=14293731195949435586,,,,,,,,
مكتبة فنون ابو يوسفAbo YOUSEF Stationery For Fine Arts,,5,,0106 365 5504,+20 106 365 5504,"4 Ibn Hokal, San Stifano, Qism El-Raml, Alexandria Governorate, Egypt",31.2419719,29.9674446,,,4,,https://maps.google.com/?cid=268975957792037845,"Monday: 8:00 AM – 7:00 PM 
Tuesday: 8:00 AM – 7:00 PM 
Wednesday: 8:00 AM – 7:00 PM 
Thursday: 8:00 AM – 7:00 PM 
Friday: Closed 
Saturday: 8:00 AM – 7:00 PM 
Sunday: 8:00 AM – 7:00 PM",,,,,,,
Al-Baraka Stationery,https://www.facebook.com/baraka.stationery,3,,0111 574 7070,+20 111 574 7070,"44 Omar Ibn Abd El-Aziz Mosque Street, Miami, Sidi Beshr Bahri, Qism El-Montaza, Alexandria Governorate 21411, Egypt",31.2640963,29.9945102,Qism El-Montaza,Sidi Beshr Bahri,Alexandria Governorate,Egypt,https://maps.google.com/?cid=606630168936961151,"Monday: 11:00 AM – 11:00 PM 
Tuesday: 11:00 AM – 11:00 PM 
Wednesday: 11:00 AM – 11:00 PM 
Thursday: 11:00 AM – 11:00 PM 
Friday: 11:00 AM – 11:00 PM 
Saturday: 11:00 AM – 11:00 PM 
Sunday: 11:00 AM – 11:00 PM",اضغط علي ‏‎alt‎‏ + ‏/‏ لفتح هذه القائمة,,https://www.facebook.com/media/set/?set=a.710067535675485.1073741825.406910242657884&type=3,,,,
Colors Library,,5,,03 5522684,+20 3 5522684,"Sidi Beshr Bahri, Qism El-Montaza, Alexandria Governorate, Egypt",31.258529,29.990643,,,Sidi Beshr Bahri,,https://maps.google.com/?cid=6256931243415226350,"Monday: 7:30 AM – 10:00 PM 
Tuesday: 7:30 AM – 10:00 PM 
Wednesday: 7:30 AM – 10:00 PM 
Thursday: 7:30 AM – 10:00 PM 
Friday: 2:00 – 8:00 PM 
Saturday: 7:30 AM – 10:00 PM 
Sunday: 7:30 AM – 10:00 PM",,,,,,,
Heft und Stift,,0,,0,0,"36 Mohammed Saleh Abou Youssef, Fleming, Qism El-Raml, Alexandria Governorate, Egypt",31.2365498,29.95583499999999,,,36,,https://maps.google.com/?cid=245147207141775440,,,,,,,,
El Farouq Stationary,,4,,0,0,"25 Mohammed Awad Allah, Sidi Beshr Bahri, Qism El-Montaza, Alexandria Governorate, Egypt",31.2696375,30.0006054,,,25,,https://maps.google.com/?cid=1810675209748613728,"Monday: 10:00 – 11:00 AM 
Tuesday: 10:00 – 11:00 AM 
Wednesday: 10:00 – 11:00 AM 
Thursday: 10:00 – 11:00 AM 
Friday: Closed 
Saturday: 10:00 – 11:00 AM 
Sunday: 10:00 – 11:00 AM",,,,,,,
San Remo Stationary,,0,,03 5827462,+20 3 5827462,"10 Mohammed Saleh Abou Youssef, Fleming, Qism El-Raml, Alexandria Governorate, Egypt",31.2353469,29.9578584,,,10,,https://maps.google.com/?cid=12282117333673698961,"Monday: 9:00 AM – 11:30 PM 
Tuesday: 9:00 AM – 11:30 PM 
Wednesday: 9:00 AM – 11:30 PM 
Thursday: 9:00 AM – 11:30 PM 
Friday: 9:00 AM – 11:30 PM 
Saturday: 9:00 AM – 11:30 PM 
Sunday: 9:00 AM – 11:30 PM",,,,,,,
Salah El Din,,5,,03 5931377,+20 3 5931377,"Ahmed Kamha, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Qesm Bab Sharqi, Alexandria Governorate, Egypt",31.208177,29.9256906,Qesm Bab Sharqi,Al Ibrahimeyah Qebli WA Al Hadrah Bahri,Ahmed Kamha,Alexandria Governorate,https://maps.google.com/?cid=18000201943691375399,,,,,,,,
Kamal Saad,,4.2,,03 4809220,+20 3 4809220,"Souq at Tork, Qesm Al Mansheyah, Alexandria Governorate, Egypt",31.19832820000001,29.8908157,,,Souq at Tork,,https://maps.google.com/?cid=5796757937801903588,"Monday: 9:00 AM – 9:00 PM 
Tuesday: 9:00 AM – 9:00 PM 
Wednesday: 9:00 AM – 9:00 PM 
Thursday: 9:00 AM – 9:00 PM 
Friday: 9:00 AM – 9:00 PM 
Saturday: 9:00 AM – 9:00 PM 
Sunday: Closed",,,,,,,
Copy and Print,,0,,0,0,"Ahmed Kamha, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Qesm Bab Sharqi, Alexandria Governorate, Egypt",31.20686019999999,29.92585219999999,Qesm Bab Sharqi,Al Ibrahimeyah Qebli WA Al Hadrah Bahri,Ahmed Kamha,Alexandria Governorate,https://maps.google.com/?cid=7573270757356671294,,,,,,,,
Malltop,,5,,0,0,"8 Gouda, Ras at Tin, Qesm Al Gomrok, Alexandria Governorate, Egypt",31.20252739999999,29.8757824,,,8,,https://maps.google.com/?cid=12375743413365749751,,,,,,,,
Discovery,,5,,0,0,"Al Garatli, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Qesm Bab Sharqi, Alexandria Governorate, Egypt",31.2088489,29.9255133,Qesm Bab Sharqi,Al Ibrahimeyah Qebli WA Al Hadrah Bahri,Al Garatli,Alexandria Governorate,https://maps.google.com/?cid=17892111400935256693,,,,,,,,
High School,,0,,0,0,"Sidi Gaber, Qesm Sidi Gaber, Alexandria Governorate, Egypt",31.218843,29.9388413,,,Sidi Gaber,,https://maps.google.com/?cid=4126145441972468893,,,,,,,,
مكتبة المصطفى,,5,,03 5275506,+20 3 5275506,"11 El-Shamy 604, Sidi Beshr Qebli, Qism El-Montaza, Alexandria Governorate, Egypt",31.2547959,29.9974954,,,11,,https://maps.google.com/?cid=7277370337280375225,"Monday: 10:00 AM – 11:00 PM 
Tuesday: 10:00 AM – 11:00 PM 
Wednesday: 10:00 AM – 11:00 PM 
Thursday: 10:00 AM – 11:00 PM 
Friday: 10:00 AM – 11:00 PM 
Saturday: 10:00 AM – 11:00 PM 
Sunday: 10:00 AM – 11:00 PM",,,,,,,
S B S,,0,,0,0,"3 Al Aked Moustafa Mohammed Tawfik, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Qesm Bab Sharqi, Alexandria Governorate, Egypt",31.20839219999999,29.9256485,,,3,,https://maps.google.com/?cid=15148337862281796533,,,,,,,,
Pharos Center 2,,4,,0,0,"Ezbet El-Nozha, Qism Sidi Gabir, Alexandria Governorate, Egypt",31.20900519999999,29.96014529999999,,,Ezbet El-Nozha,,https://maps.google.com/?cid=8269867758467315889,"Monday: 10:00 AM – 10:00 PM 
Tuesday: 10:00 AM – 10:00 PM 
Wednesday: 10:00 AM – 10:00 PM 
Thursday: 10:00 AM – 10:00 PM 
Friday: Closed 
Saturday: 10:00 AM – 10:00 PM 
Sunday: 10:00 AM – 10:00 PM",,,,,,,
El Shimy,,0,,0,0,"1 Suez Canal Bridge, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Qesm Bab Sharqi, Alexandria Governorate, Egypt",31.20810829999999,29.9259648,,,1,,https://maps.google.com/?cid=16465405196261735495,,,,,,,,
مكتبة الاخلاص,,5,,0,0,"Ein Galout, Al Mafrouzah Gharb, Qism Mina El-Basal, Alexandria Governorate, Egypt",31.1679248,29.8795566,Qism Mina El-Basal,Al Mafrouzah Gharb,Ein Galout,Alexandria Governorate,https://maps.google.com/?cid=16804362542346510493,,,,,,,,
Bernasos Alexandria,,0,,03 4834909,+20 3 4834909,"15 Sero Setries, Al Mesallah Gharb WA Sharif Basha, Qesm Al Attarin, Alexandria Governorate, Egypt",31.1968149,29.898219,,,15,,https://maps.google.com/?cid=9431985288116855909,"Monday: 9:00 AM – 9:00 PM 
Tuesday: 9:00 AM – 9:00 PM 
Wednesday: 9:00 AM – 9:00 PM 
Thursday: 9:00 AM – 9:00 PM 
Friday: 9:00 AM – 8:00 PM 
Saturday: 9:00 AM – 8:00 PM 
Sunday: 9:00 AM – 9:00 PM",,,,,,,
مكتبة يسري,http://centeryosry.business.site/,5,,0121 167 6193,+20 121 167 6193,"شارع سوتير الازاريطة مقابل كلية الحقوق خلف 32،، الأزاريتة والشاطبي، Al Azaritah WA Ash Shatebi, Qesm Bab Sharqi, Alexandria Governorate, Egypt",31.20592899999999,29.909268,Alexandria Governorate,Al Azaritah WA Ash Shatebi,Qesm Bab Sharqi,Egypt,https://maps.google.com/?cid=12674490273999510711,"Monday: 9:00 AM – 10:00 PM 
Tuesday: 9:00 AM – 9:00 PM 
Wednesday: 9:00 AM – 10:00 PM 
Thursday: 9:00 AM – 9:00 PM 
Friday: 9:00 AM – 8:00 PM 
Saturday: 9:00 AM – 10:00 PM 
Sunday: 9:00 AM – 10:00 PM",,,https://www.facebook.com/centeryosry/,,,,
El Wardany Stationery,,5,,03 5572432,+20 3 5572432,"425 Gamal Abd El-Nasir Rd, Al Mandarah Bahri, Qism El-Montaza, Alexandria Governorate, Egypt",31.2769701,30.00862399999999,,,425,,https://maps.google.com/?cid=13465380121027779814,,,,,,,,
El-Mohandes Stationery shop,,0,,0,0,"Ezbet Saad, Qism Sidi Gabir, Alexandria Governorate, Egypt",31.2099767,29.9508964,,,Ezbet Saad,,https://maps.google.com/?cid=9859985266271979545,,,,,,,,
مكتبة الوئام - Elweam Stationery Shop,,3,,0,0,"13-14 Abd El-Haleem Mahmoud, Al Mandarah Bahri, Qism El-Montaza, Alexandria Governorate, Egypt",31.2757937,30.0053174,,,13-14,,https://maps.google.com/?cid=950714193303911461,"Monday: 9:00 AM – 10:00 PM 
Tuesday: 9:00 AM – 10:00 PM 
Wednesday: 9:00 AM – 10:00 PM 
Thursday: 9:00 AM – 10:00 PM 
Friday: 9:00 AM – 10:00 PM 
Saturday: 9:00 AM – 10:00 PM 
Sunday: 9:00 AM – 10:00 PM",,,,,,,
Touch Stationery,,0,,03 5448122,+20 3 5448122,"Fleming, Qesm AR Ramel, Alexandria Governorate, Egypt",31.2307024,29.9551276,,,Fleming,,https://maps.google.com/?cid=339974775026562998,,,,,,,,
El Zahraa Stationery,,0,,03 5779674,+20 3 5779674,"Al Aqesa WA Baqos, Qesm AR Ramel, Alexandria Governorate, Egypt",31.2411599,29.9696685,,,Al Aqesa WA Baqos,,https://maps.google.com/?cid=9848602618617109745,,,,,,,,
Hanan Stationery,,0,,03 3228976,+20 3 3228976,"Al Mandarah Qebli (Include Izbat Al Gabal), Qesm Al Montazah, Alexandria Governorate, Egypt",31.2693908,30.0075405,,,Al Mandarah Qebli (Include Izbat Al Gabal),,https://maps.google.com/?cid=14274028346510868830,,,,,,,,
Hany Stationery,,4.5,,03 5840069,+20 3 5840069,"San Stifano, Qesm AR Ramel, Alexandria Governorate, Egypt",31.2423729,29.9683791,,,San Stifano,,https://maps.google.com/?cid=5688089467726196844,,,,,,,,
Farg Allah Stationery,,1,,03 4878826,+20 3 4878826,"3 Qaisar, Al Mesallah Sharq, Qesm Al Attarin, Alexandria Governorate, Egypt",31.1994035,29.90358889999999,,,3,,https://maps.google.com/?cid=4974118785657507957,,,,,,,,
El Shark Stationery,,0,,03 4809846,+20 3 4809846,"1 Gamal El-Deen Yassin, Al Mesallah Gharb WA Sharif Basha, Qesm Al Attarin, Alexandria Governorate, Egypt",31.199995,29.89753919999999,,,1,,https://maps.google.com/?cid=6312816831206096860,,,,,,,,
"Bernasos Stationery, Office Supplies & Surveying",,3.3,,03 4834909,+20 3 4834909,"15 Al Maheta, ADH Dhahereyah WA Izbat as Safih, Qism El-Raml, Alexandria Governorate, Egypt",31.196797,29.898293,,,15,,https://maps.google.com/?cid=5130264216157433256,,,,,,,,
Konooz Stationery,,3,,03 3832277,+20 3 3832277,"Izbat an Nuzhah, Qesm Sidi Gaber, Alexandria Governorate, Egypt",31.209302,29.958734,,,Izbat an Nuzhah,,https://maps.google.com/?cid=4028530767970569374,,,,,,,,
El Nagah Stationery,,0,,03 5534661,+20 3 5534661,"38 Khaleel Hamada, Sidi Beshr Bahri, Qism El-Montaza, Alexandria Governorate, Egypt",31.264015,29.990719,,,38,,https://maps.google.com/?cid=1571640721504763051,,,,,,,,
Arafa Stationery,,0,,0,0,"Sidi Beshr Bahri, Qesm Al Montazah, Alexandria Governorate, Egypt",31.2696989,30.00435699999999,,,Sidi Beshr Bahri,,https://maps.google.com/?cid=1826144131276602682,,,,,,,,
El Manarat Stationery,,0,,03 5760836,+20 3 5760836,16 ش محطة شدس، العاقصة وباكوس، قسم الرمل، الإسكندرية، Egypt,31.2395536,29.9699171,,,16,,https://maps.google.com/?cid=2678823130401409103,,,,,,,,
El Sherif Stationery,,3.7,,03 4812581,+20 3 4812581,"94 Hussein Basha Asem, At Tarmazeyah, Qesm Al Gomrok, Alexandria Governorate, Egypt",31.2028519,29.88590439999999,,,94,,https://maps.google.com/?cid=4274276543058491273,,,,,,,,
Christina,,5,,03 5411045,+20 3 5411045,13 ش الدير، سيدي جابر، قسم سيدى جابر، الإسكندرية، Egypt,31.22416419999999,29.9375763,,,13,,https://maps.google.com/?cid=5005069774554671151,,,,,,,,
Andro Stationery,,5,,03 3915772,+20 3 3915772,"Emberouz WA Moharram Beik, Qesm Moharram Beik, Alexandria Governorate, Egypt",31.1889021,29.910421,,,Emberouz WA Moharram Beik,,https://maps.google.com/?cid=9757135607449258229,,,,,,,,
Hany & Fady Stationery,,1,,03 5364551,+20 3 5364551,"Al Mandarah Qebli (Include Izbat Al Gabal), Qesm Al Montazah, Alexandria Governorate, Egypt",31.25716379999999,30.00617459999999,,,Al Mandarah Qebli (Include Izbat Al Gabal),,https://maps.google.com/?cid=13857330576859644878,,,,,,,,
El Garhy Stationery,,0,,03 5264436,+20 3 5264436,"As Soyouf Qebli (Include Izbat Derbanah), Qesm Al Montazah, Alexandria Governorate, Egypt",31.2417752,29.9858189,,,As Soyouf Qebli (Include Izbat Derbanah),,https://maps.google.com/?cid=14338702390986983777,,,,,,,,
Saafan Stationery,,0,,03 5748057,+20 3 5748057,35 ش محطة شدس، القصعي بحري، قسم الرمل، الإسكندرية، Egypt,31.24016,29.971856,,,35,,https://maps.google.com/?cid=15761293173257978354,,,,,,,,
Fathy Atteya Stationery,,4,,03 5767781,+20 3 5767781,"89 El Qasem, ADH Dhahereyah WA Izbat as Safih, Qism El-Raml, Alexandria Governorate, Egypt",31.232965,29.962773,,,89,,https://maps.google.com/?cid=16502123386636866329,,,,,,,,
Pyramids Stationery,,5,,03 4205332,+20 3 4205332,"Izbat Saed, Qesm Sidi Gaber, Alexandria Governorate, Egypt",31.2161534,29.9414851,,,Izbat Saed,,https://maps.google.com/?cid=985993217730133304,,,,,,,,
El Ahleya Stationery,,0,,03 4863934,+20 3 4863934,"1 Mahmoud Al Falaki, Al Mesallah Gharb WA Sharif Basha, Qesm Al Attarin, Alexandria Governorate, Egypt",31.196533,29.8972255,,,1,,https://maps.google.com/?cid=2459287822049132971,,,,,,,,
Ashraf Stationery,,5,,03 3938075,+20 3 3938075,"Emberouz WA Moharram Beik, Qesm Moharram Beik, Alexandria Governorate, Egypt",31.18843599999999,29.916338,,,Emberouz WA Moharram Beik,,https://maps.google.com/?cid=3334719099704445585,,,,,,,,
El Nour Stationery,,0,,03 5275905,+20 3 5275905,"58 El-Tawba Mosque, Sidi Beshr Qebli, Qism El-Montaza, Alexandria Governorate, Egypt",31.2530708,29.997064,,,58,,https://maps.google.com/?cid=13957804502536893123,,,,,,,,
El Estklal Stationery,,0,,03 5265124,+20 3 5265124,"As Soyouf Qebli (Include Izbat Derbanah), Qesm Al Montazah, Alexandria Governorate, Egypt",31.245403,29.983044,,,As Soyouf Qebli (Include Izbat Derbanah),,https://maps.google.com/?cid=14453422025492229394,,,,,,,,
